待翻译: 937 条 (样本=0, 限制=0)
共 94 批, 并发 6
进度 10/937 | 输入 707 tok | 输出 409 tok | 费用 ¥0.0015 | 3s
进度 600/937 | 输入 77173 tok | 输出 55304 tok | 费用 ¥0.1878 | 62s
进度 610/937 | 输入 79527 tok | 输出 57251 tok | 费用 ¥0.1940 | 63s
进度 620/937 | 输入 81312 tok | 输出 58602 tok | 费用 ¥0.1985 | 63s
进度 630/937 | 输入 82338 tok | 输出 59307 tok | 费用 ¥0.2010 | 64s
进度 640/937 | 输入 83093 tok | 输出 59774 tok | 费用 ¥0.2026 | 66s
进度 650/937 | 输入 84098 tok | 输出 60447 tok | 费用 ¥0.2050 | 66s
进度 660/937 | 输入 85248 tok | 输出 61258 tok | 费用 ¥0.2078 | 67s
进度 670/937 | 输入 86387 tok | 输出 62060 tok | 费用 ¥0.2105 | 68s
进度 680/937 | 输入 87566 tok | 输出 62921 tok | 费用 ¥0.2134 | 69s
进度 690/937 | 输入 88769 tok | 输出 63749 tok | 费用 ¥0.2163 | 69s
进度 700/937 | 输入 89760 tok | 输出 64379 tok | 费用 ¥0.2185 | 70s
进度 710/937 | 输入 90888 tok | 输出 65099 tok | 费用 ¥0.2211 | 70s
进度 720/937 | 输入 92038 tok | 输出 65876 tok | 费用 ¥0.2238 | 73s
进度 730/937 | 输入 93187 tok | 输出 66680 tok | 费用 ¥0.2265 | 73s
进度 740/937 | 输入 95349 tok | 输出 68483 tok | 费用 ¥0.2323 | 81s
进度 750/937 | 输入 97957 tok | 输出 70706 tok | 费用 ¥0.2394 | 82s
进度 760/937 | 输入 99980 tok | 输出 72336 tok | 费用 ¥0.2447 | 83s
进度 770/937 | 输入 102681 tok | 输出 74663 tok | 费用 ¥0.2520 | 83s
进度 780/937 | 输入 105927 tok | 输出 77427 tok | 费用 ¥0.2608 | 85s
进度 790/937 | 输入 108665 tok | 输出 79920 tok | 费用 ¥0.2685 | 85s
进度 800/937 | 输入 109677 tok | 输出 80614 tok | 费用 ¥0.2709 | 86s
进度 810/937 | 输入 110918 tok | 输出 81513 tok | 费用 ¥0.2739 | 87s
进度 820/937 | 输入 111759 tok | 输出 82062 tok | 费用 ¥0.2759 | 89s
进度 830/937 | 输入 113374 tok | 输出 83302 tok | 费用 ¥0.2800 | 90s
进度 840/937 | 输入 114584 tok | 输出 84211 tok | 费用 ¥0.2830 | 91s
进度 850/937 | 输入 115742 tok | 输出 85015 tok | 费用 ¥0.2858 | 91s
进度 860/937 | 输入 116624 tok | 输出 85602 tok | 费用 ¥0.2878 | 91s
进度 870/937 | 输入 119104 tok | 输出 87736 tok | 费用 ¥0.2946 | 94s
进度 880/937 | 输入 120421 tok | 输出 88688 tok | 费用 ¥0.2978 | 95s
进度 890/937 | 输入 121488 tok | 输出 89369 tok | 费用 ¥0.3002 | 96s
进度 900/937 | 输入 122792 tok | 输出 90273 tok | 费用 ¥0.3033 | 97s
进度 910/937 | 输入 124284 tok | 输出 91403 tok | 费用 ¥0.3071 | 98s
进度 920/937 | 输入 126134 tok | 输出 92862 tok | 费用 ¥0.3119 | 99s
进度 927/937 | 输入 127412 tok | 输出 93768 tok | 费用 ¥0.3149 | 101s
进度 937/937 | 输入 129088 tok | 输出 95003 tok | 费用 ¥0.3191 | 102s
============================================================
完成: 937 条
思考模式出现次数: 0 (应为 0)
输入 token: 129088 | 输出 token: 95003
费用估算: ¥0.3191
