待翻译: 1410 条 (样本=0, 限制=0)
共 141 批, 并发 8
进度 10/1410 | 输入 805 tok | 输出 493 tok | 费用 ¥0.0018 | 4s
进度 1240/1410 | 输入 147483 tok | 输出 107155 tok | 费用 ¥0.3618 | 84s
进度 1250/1410 | 输入 148470 tok | 输出 107811 tok | 费用 ¥0.3641 | 84s
进度 1260/1410 | 输入 149435 tok | 输出 108475 tok | 费用 ¥0.3664 | 84s
进度 1270/1410 | 输入 150687 tok | 输出 109452 tok | 费用 ¥0.3696 | 86s
进度 1280/1410 | 输入 151381 tok | 输出 109838 tok | 费用 ¥0.3711 | 87s
进度 1290/1410 | 输入 152454 tok | 输出 110606 tok | 费用 ¥0.3737 | 88s
进度 1300/1410 | 输入 153995 tok | 输出 111760 tok | 费用 ¥0.3775 | 88s
进度 1310/1410 | 输入 154709 tok | 输出 112183 tok | 费用 ¥0.3791 | 88s
进度 1320/1410 | 输入 155469 tok | 输出 112633 tok | 费用 ¥0.3807 | 90s
进度 1330/1410 | 输入 157224 tok | 输出 114051 tok | 费用 ¥0.3853 | 91s
进度 1340/1410 | 输入 159803 tok | 输出 116240 tok | 费用 ¥0.3923 | 92s
进度 1350/1410 | 输入 161590 tok | 输出 117714 tok | 费用 ¥0.3970 | 92s
进度 1360/1410 | 输入 162576 tok | 输出 118429 tok | 费用 ¥0.3994 | 92s
进度 1370/1410 | 输入 164908 tok | 输出 120281 tok | 费用 ¥0.4055 | 93s
进度 1380/1410 | 输入 166253 tok | 输出 121247 tok | 费用 ¥0.4087 | 94s
进度 1390/1410 | 输入 166998 tok | 输出 121665 tok | 费用 ¥0.4103 | 94s
进度 1400/1410 | 输入 167864 tok | 输出 122265 tok | 费用 ¥0.4124 | 94s
进度 1410/1410 | 输入 169928 tok | 输出 123915 tok | 费用 ¥0.4178 | 97s
============================================================
完成: 1410 条
思考模式出现次数: 0 (应为 0)
输入 token: 169928 | 输出 token: 123915
费用估算: ¥0.4178
