待翻译: 1272 条 (样本=0, 限制=0)
共 128 批, 并发 8
进度 10/1272 | 输入 612 tok | 输出 310 tok | 费用 ¥0.0012 | 3s
进度 530/1272 | 输入 47760 tok | 输出 30213 tok | 费用 ¥0.1082 | 27s
进度 540/1272 | 输入 48608 tok | 输出 30720 tok | 费用 ¥0.1100 | 28s
进度 550/1272 | 输入 49451 tok | 输出 31222 tok | 费用 ¥0.1119 | 28s
进度 560/1272 | 输入 50299 tok | 输出 31730 tok | 费用 ¥0.1138 | 29s
进度 570/1272 | 输入 51375 tok | 输出 32436 tok | 费用 ¥0.1162 | 29s
进度 580/1272 | 输入 52311 tok | 输出 33019 tok | 费用 ¥0.1183 | 29s
进度 590/1272 | 输入 53166 tok | 输出 33536 tok | 费用 ¥0.1202 | 30s
进度 600/1272 | 输入 54114 tok | 输出 34131 tok | 费用 ¥0.1224 | 30s
进度 610/1272 | 输入 55052 tok | 输出 34721 tok | 费用 ¥0.1245 | 30s
进度 620/1272 | 输入 55986 tok | 输出 35322 tok | 费用 ¥0.1266 | 32s
进度 630/1272 | 输入 56999 tok | 输出 35997 tok | 费用 ¥0.1290 | 32s
进度 640/1272 | 输入 57998 tok | 输出 36644 tok | 费用 ¥0.1313 | 33s
进度 650/1272 | 输入 58935 tok | 输出 37215 tok | 费用 ¥0.1334 | 33s
进度 660/1272 | 输入 59871 tok | 输出 37799 tok | 费用 ¥0.1355 | 33s
进度 670/1272 | 输入 60711 tok | 输出 38304 tok | 费用 ¥0.1373 | 33s
进度 680/1272 | 输入 61905 tok | 输出 39134 tok | 费用 ¥0.1402 | 33s
进度 690/1272 | 输入 62815 tok | 输出 39708 tok | 费用 ¥0.1422 | 34s
进度 700/1272 | 输入 63753 tok | 输出 40256 tok | 费用 ¥0.1443 | 35s
进度 710/1272 | 输入 64592 tok | 输出 40763 tok | 费用 ¥0.1461 | 36s
进度 720/1272 | 输入 65436 tok | 输出 41240 tok | 费用 ¥0.1479 | 36s
进度 730/1272 | 输入 66284 tok | 输出 41762 tok | 费用 ¥0.1498 | 36s
进度 740/1272 | 输入 67125 tok | 输出 42270 tok | 费用 ¥0.1517 | 36s
进度 750/1272 | 输入 68111 tok | 输出 42903 tok | 费用 ¥0.1539 | 36s
进度 760/1272 | 输入 68952 tok | 输出 43413 tok | 费用 ¥0.1558 | 37s
进度 770/1272 | 输入 69891 tok | 输出 44010 tok | 费用 ¥0.1579 | 37s
进度 780/1272 | 输入 70856 tok | 输出 44634 tok | 费用 ¥0.1601 | 39s
进度 790/1272 | 输入 71699 tok | 输出 45154 tok | 费用 ¥0.1620 | 39s
进度 800/1272 | 输入 72640 tok | 输出 45758 tok | 费用 ¥0.1642 | 39s
进度 810/1272 | 输入 73487 tok | 输出 46283 tok | 费用 ¥0.1661 | 39s
进度 820/1272 | 输入 74331 tok | 输出 46800 tok | 费用 ¥0.1679 | 39s
进度 830/1272 | 输入 75187 tok | 输出 47328 tok | 费用 ¥0.1698 | 40s
进度 840/1272 | 输入 76236 tok | 输出 48019 tok | 费用 ¥0.1723 | 40s
进度 850/1272 | 输入 77188 tok | 输出 48616 tok | 费用 ¥0.1744 | 41s
进度 860/1272 | 输入 78095 tok | 输出 49171 tok | 费用 ¥0.1764 | 42s
进度 870/1272 | 输入 78968 tok | 输出 49709 tok | 费用 ¥0.1784 | 42s
进度 880/1272 | 输入 79810 tok | 输出 50180 tok | 费用 ¥0.1802 | 42s
进度 890/1272 | 输入 80753 tok | 输出 50767 tok | 费用 ¥0.1823 | 42s
进度 900/1272 | 输入 81600 tok | 输出 51282 tok | 费用 ¥0.1842 | 43s
进度 910/1272 | 输入 82444 tok | 输出 51797 tok | 费用 ¥0.1860 | 44s
进度 920/1272 | 输入 83493 tok | 输出 52479 tok | 费用 ¥0.1885 | 44s
进度 930/1272 | 输入 84184 tok | 输出 52894 tok | 费用 ¥0.1900 | 45s
进度 940/1272 | 输入 84920 tok | 输出 53362 tok | 费用 ¥0.1916 | 45s
进度 950/1272 | 输入 85618 tok | 输出 53784 tok | 费用 ¥0.1932 | 45s
进度 960/1272 | 输入 86273 tok | 输出 54169 tok | 费用 ¥0.1946 | 45s
进度 970/1272 | 输入 87068 tok | 输出 54704 tok | 费用 ¥0.1965 | 45s
进度 980/1272 | 输入 87665 tok | 输出 55010 tok | 费用 ¥0.1977 | 46s
进度 990/1272 | 输入 88270 tok | 输出 55317 tok | 费用 ¥0.1989 | 46s
进度 1000/1272 | 输入 89526 tok | 输出 56217 tok | 费用 ¥0.2020 | 46s
进度 1010/1272 | 输入 90141 tok | 输出 56542 tok | 费用 ¥0.2032 | 47s
进度 1020/1272 | 输入 90774 tok | 输出 56884 tok | 费用 ¥0.2045 | 47s
进度 1030/1272 | 输入 91428 tok | 输出 57241 tok | 费用 ¥0.2059 | 48s
进度 1040/1272 | 输入 92144 tok | 输出 57670 tok | 费用 ¥0.2075 | 48s
进度 1050/1272 | 输入 92777 tok | 输出 57999 tok | 费用 ¥0.2088 | 48s
进度 1060/1272 | 输入 93630 tok | 输出 58574 tok | 费用 ¥0.2108 | 48s
进度 1070/1272 | 输入 94262 tok | 输出 58912 tok | 费用 ¥0.2121 | 48s
进度 1080/1272 | 输入 94943 tok | 输出 59303 tok | 费用 ¥0.2135 | 50s
进度 1090/1272 | 输入 95801 tok | 输出 59875 tok | 费用 ¥0.2156 | 50s
进度 1100/1272 | 输入 96575 tok | 输出 60309 tok | 费用 ¥0.2172 | 51s
进度 1110/1272 | 输入 97464 tok | 输出 60910 tok | 费用 ¥0.2193 | 51s
进度 1120/1272 | 输入 98466 tok | 输出 61603 tok | 费用 ¥0.2217 | 52s
进度 1130/1272 | 输入 99464 tok | 输出 62276 tok | 费用 ¥0.2240 | 52s
进度 1140/1272 | 输入 100592 tok | 输出 63068 tok | 费用 ¥0.2267 | 52s
进度 1150/1272 | 输入 101762 tok | 输出 63961 tok | 费用 ¥0.2297 | 53s
进度 1160/1272 | 输入 102706 tok | 输出 64559 tok | 费用 ¥0.2318 | 54s
进度 1170/1272 | 输入 103509 tok | 输出 65038 tok | 费用 ¥0.2336 | 54s
进度 1180/1272 | 输入 104530 tok | 输出 65715 tok | 费用 ¥0.2360 | 55s
进度 1190/1272 | 输入 105887 tok | 输出 66699 tok | 费用 ¥0.2393 | 56s
进度 1200/1272 | 输入 106695 tok | 输出 67193 tok | 费用 ¥0.2411 | 56s
进度 1202/1272 | 输入 107022 tok | 输出 67265 tok | 费用 ¥0.2416 | 57s
进度 1212/1272 | 输入 108132 tok | 输出 68048 tok | 费用 ¥0.2442 | 57s
进度 1222/1272 | 输入 109301 tok | 输出 68854 tok | 费用 ¥0.2470 | 58s
进度 1232/1272 | 输入 110813 tok | 输出 69959 tok | 费用 ¥0.2507 | 59s
进度 1242/1272 | 输入 112038 tok | 输出 70853 tok | 费用 ¥0.2537 | 59s
进度 1252/1272 | 输入 113356 tok | 输出 71844 tok | 费用 ¥0.2570 | 60s
进度 1262/1272 | 输入 114698 tok | 输出 72838 tok | 费用 ¥0.2604 | 61s
进度 1272/1272 | 输入 115989 tok | 输出 73770 tok | 费用 ¥0.2635 | 62s
============================================================
完成: 1272 条
思考模式出现次数: 0 (应为 0)
输入 token: 115989 | 输出 token: 73770
费用估算: ¥0.2635
