待翻译: 1595 条 (样本=0, 限制=0)
共 160 批, 并发 8
进度 10/1595 | 输入 756 tok | 输出 440 tok | 费用 ¥0.0016 | 4s
进度 660/1595 | 输入 82127 tok | 输出 58514 tok | 费用 ¥0.1992 | 51s
进度 670/1595 | 输入 83359 tok | 输出 59381 tok | 费用 ¥0.2021 | 52s
进度 680/1595 | 输入 84232 tok | 输出 59923 tok | 费用 ¥0.2041 | 52s
进度 690/1595 | 输入 85221 tok | 输出 60586 tok | 费用 ¥0.2064 | 53s
进度 700/1595 | 输入 87313 tok | 输出 62335 tok | 费用 ¥0.2120 | 54s
进度 710/1595 | 输入 89306 tok | 输出 63845 tok | 费用 ¥0.2170 | 55s
进度 720/1595 | 输入 90683 tok | 输出 64866 tok | 费用 ¥0.2204 | 56s
进度 730/1595 | 输入 91930 tok | 输出 65767 tok | 费用 ¥0.2235 | 57s
进度 740/1595 | 输入 92998 tok | 输出 66471 tok | 费用 ¥0.2259 | 57s
进度 750/1595 | 输入 94140 tok | 输出 67237 tok | 费用 ¥0.2286 | 58s
进度 760/1595 | 输入 96930 tok | 输出 69483 tok | 费用 ¥0.2359 | 58s
进度 770/1595 | 输入 98279 tok | 输出 70411 tok | 费用 ¥0.2391 | 59s
进度 780/1595 | 输入 99547 tok | 输出 71275 tok | 费用 ¥0.2421 | 62s
进度 790/1595 | 输入 101050 tok | 输出 72337 tok | 费用 ¥0.2457 | 64s
进度 800/1595 | 输入 102216 tok | 输出 73154 tok | 费用 ¥0.2485 | 64s
进度 810/1595 | 输入 103474 tok | 输出 74019 tok | 费用 ¥0.2515 | 64s
进度 820/1595 | 输入 104177 tok | 输出 74403 tok | 费用 ¥0.2530 | 64s
进度 830/1595 | 输入 105799 tok | 输出 75636 tok | 费用 ¥0.2571 | 65s
进度 840/1595 | 输入 107519 tok | 输出 76933 tok | 费用 ¥0.2614 | 66s
进度 850/1595 | 输入 110223 tok | 输出 79115 tok | 费用 ¥0.2685 | 67s
进度 860/1595 | 输入 111158 tok | 输出 79688 tok | 费用 ¥0.2705 | 68s
进度 870/1595 | 输入 112287 tok | 输出 80442 tok | 费用 ¥0.2732 | 69s
进度 880/1595 | 输入 113075 tok | 输出 80900 tok | 费用 ¥0.2749 | 69s
进度 890/1595 | 输入 113989 tok | 输出 81455 tok | 费用 ¥0.2769 | 69s
进度 900/1595 | 输入 115367 tok | 输出 82426 tok | 费用 ¥0.2802 | 70s
进度 910/1595 | 输入 116868 tok | 输出 83518 tok | 费用 ¥0.2839 | 71s
进度 920/1595 | 输入 117871 tok | 输出 84137 tok | 费用 ¥0.2861 | 72s
进度 930/1595 | 输入 118968 tok | 输出 84874 tok | 费用 ¥0.2887 | 72s
进度 940/1595 | 输入 119835 tok | 输出 85381 tok | 费用 ¥0.2906 | 72s
进度 950/1595 | 输入 120877 tok | 输出 86044 tok | 费用 ¥0.2930 | 73s
进度 960/1595 | 输入 122001 tok | 输出 86804 tok | 费用 ¥0.2956 | 75s
进度 970/1595 | 输入 122851 tok | 输出 87329 tok | 费用 ¥0.2975 | 75s
进度 980/1595 | 输入 123863 tok | 输出 88033 tok | 费用 ¥0.2999 | 75s
进度 990/1595 | 输入 127888 tok | 输出 91527 tok | 费用 ¥0.3109 | 76s
进度 1000/1595 | 输入 129576 tok | 输出 92815 tok | 费用 ¥0.3152 | 77s
进度 1010/1595 | 输入 130412 tok | 输出 93325 tok | 费用 ¥0.3171 | 78s
进度 1020/1595 | 输入 131324 tok | 输出 93900 tok | 费用 ¥0.3191 | 79s
进度 1030/1595 | 输入 132814 tok | 输出 95022 tok | 费用 ¥0.3229 | 79s
进度 1040/1595 | 输入 134412 tok | 输出 96245 tok | 费用 ¥0.3269 | 80s
进度 1050/1595 | 输入 136094 tok | 输出 97535 tok | 费用 ¥0.3312 | 81s
进度 1060/1595 | 输入 137738 tok | 输出 98762 tok | 费用 ¥0.3353 | 82s
进度 1070/1595 | 输入 138626 tok | 输出 99325 tok | 费用 ¥0.3373 | 83s
进度 1080/1595 | 输入 140399 tok | 输出 100719 tok | 费用 ¥0.3418 | 84s
进度 1090/1595 | 输入 141686 tok | 输出 101592 tok | 费用 ¥0.3449 | 84s
进度 1100/1595 | 输入 143246 tok | 输出 102792 tok | 费用 ¥0.3488 | 84s
进度 1110/1595 | 输入 144548 tok | 输出 103705 tok | 费用 ¥0.3520 | 84s
进度 1120/1595 | 输入 145676 tok | 输出 104497 tok | 费用 ¥0.3547 | 86s
进度 1130/1595 | 输入 147562 tok | 输出 105952 tok | 费用 ¥0.3595 | 87s
进度 1140/1595 | 输入 148562 tok | 输出 106633 tok | 费用 ¥0.3618 | 88s
进度 1150/1595 | 输入 149594 tok | 输出 107318 tok | 费用 ¥0.3642 | 88s
进度 1160/1595 | 输入 150713 tok | 输出 108106 tok | 费用 ¥0.3669 | 90s
进度 1170/1595 | 输入 152441 tok | 输出 109387 tok | 费用 ¥0.3712 | 90s
进度 1180/1595 | 输入 153698 tok | 输出 110226 tok | 费用 ¥0.3741 | 90s
进度 1190/1595 | 输入 154927 tok | 输出 111103 tok | 费用 ¥0.3771 | 90s
进度 1200/1595 | 输入 155930 tok | 输出 111731 tok | 费用 ¥0.3794 | 92s
进度 1210/1595 | 输入 157254 tok | 输出 112656 tok | 费用 ¥0.3826 | 92s
进度 1220/1595 | 输入 157971 tok | 输出 113068 tok | 费用 ¥0.3841 | 93s
进度 1230/1595 | 输入 158737 tok | 输出 113491 tok | 费用 ¥0.3857 | 94s
进度 1240/1595 | 输入 159887 tok | 输出 114275 tok | 费用 ¥0.3884 | 94s
进度 1250/1595 | 输入 160917 tok | 输出 114955 tok | 费用 ¥0.3908 | 94s
进度 1260/1595 | 输入 162004 tok | 输出 115673 tok | 费用 ¥0.3933 | 95s
进度 1270/1595 | 输入 163483 tok | 输出 116811 tok | 费用 ¥0.3971 | 96s
进度 1280/1595 | 输入 164273 tok | 输出 117266 tok | 费用 ¥0.3988 | 97s
进度 1290/1595 | 输入 165370 tok | 输出 117968 tok | 费用 ¥0.4013 | 97s
进度 1300/1595 | 输入 166192 tok | 输出 118443 tok | 费用 ¥0.4031 | 97s
进度 1310/1595 | 输入 167496 tok | 输出 119329 tok | 费用 ¥0.4062 | 98s
进度 1320/1595 | 输入 168659 tok | 输出 120090 tok | 费用 ¥0.4088 | 100s
进度 1330/1595 | 输入 169579 tok | 输出 120636 tok | 费用 ¥0.4109 | 102s
进度 1340/1595 | 输入 170525 tok | 输出 121218 tok | 费用 ¥0.4130 | 102s
进度 1350/1595 | 输入 172233 tok | 输出 122515 tok | 费用 ¥0.4173 | 102s
进度 1360/1595 | 输入 173415 tok | 输出 123324 tok | 费用 ¥0.4201 | 102s
进度 1370/1595 | 输入 174408 tok | 输出 123966 tok | 费用 ¥0.4223 | 103s
进度 1380/1595 | 输入 175606 tok | 输出 124815 tok | 费用 ¥0.4252 | 105s
进度 1390/1595 | 输入 176458 tok | 输出 125338 tok | 费用 ¥0.4271 | 105s
进度 1400/1595 | 输入 177441 tok | 输出 125988 tok | 费用 ¥0.4294 | 106s
进度 1410/1595 | 输入 178353 tok | 输出 126572 tok | 费用 ¥0.4315 | 107s
进度 1420/1595 | 输入 179332 tok | 输出 127220 tok | 费用 ¥0.4338 | 107s
进度 1430/1595 | 输入 181672 tok | 输出 129086 tok | 费用 ¥0.4398 | 108s
进度 1440/1595 | 输入 182977 tok | 输出 129968 tok | 费用 ¥0.4429 | 108s
进度 1450/1595 | 输入 183922 tok | 输出 130598 tok | 费用 ¥0.4451 | 110s
进度 1460/1595 | 输入 184887 tok | 输出 131204 tok | 费用 ¥0.4473 | 111s
进度 1470/1595 | 输入 185792 tok | 输出 131734 tok | 费用 ¥0.4493 | 111s
进度 1480/1595 | 输入 189219 tok | 输出 134538 tok | 费用 ¥0.4583 | 111s
进度 1490/1595 | 输入 190166 tok | 输出 135116 tok | 费用 ¥0.4604 | 112s
进度 1500/1595 | 输入 191715 tok | 输出 136301 tok | 费用 ¥0.4643 | 112s
进度 1510/1595 | 输入 192587 tok | 输出 136861 tok | 费用 ¥0.4663 | 115s
进度 1520/1595 | 输入 193594 tok | 输出 137544 tok | 费用 ¥0.4687 | 115s
进度 1530/1595 | 输入 194526 tok | 输出 138140 tok | 费用 ¥0.4708 | 116s
进度 1540/1595 | 输入 196127 tok | 输出 139346 tok | 费用 ¥0.4748 | 116s
进度 1550/1595 | 输入 198127 tok | 输出 140928 tok | 费用 ¥0.4800 | 117s
进度 1560/1595 | 输入 199275 tok | 输出 141768 tok | 费用 ¥0.4828 | 118s
进度 1565/1595 | 输入 199899 tok | 输出 142121 tok | 费用 ¥0.4841 | 118s
进度 1575/1595 | 输入 201259 tok | 输出 143077 tok | 费用 ¥0.4874 | 119s
进度 1585/1595 | 输入 203130 tok | 输出 144515 tok | 费用 ¥0.4922 | 119s
进度 1595/1595 | 输入 204681 tok | 输出 145667 tok | 费用 ¥0.4960 | 122s
============================================================
完成: 1595 条
思考模式出现次数: 0 (应为 0)
输入 token: 204681 | 输出 token: 145667
费用估算: ¥0.4960
