待翻译: 2221 条 (样本=0, 限制=0)
共 223 批, 并发 8
进度 10/2221 | 输入 1043 tok | 输出 728 tok | 费用 ¥0.0025 | 5s
进度 910/2221 | 输入 156453 tok | 输出 121656 tok | 费用 ¥0.3998 | 96s
进度 920/2221 | 输入 157294 tok | 输出 122165 tok | 费用 ¥0.4016 | 97s
进度 930/2221 | 输入 158636 tok | 输出 123119 tok | 费用 ¥0.4049 | 97s
进度 940/2221 | 输入 159409 tok | 输出 123555 tok | 费用 ¥0.4065 | 97s
进度 950/2221 | 输入 160487 tok | 输出 124301 tok | 费用 ¥0.4091 | 98s
进度 960/2221 | 输入 161513 tok | 输出 124985 tok | 费用 ¥0.4115 | 100s
进度 970/2221 | 输入 163073 tok | 输出 126141 tok | 费用 ¥0.4154 | 102s
进度 980/2221 | 输入 164236 tok | 输出 126927 tok | 费用 ¥0.4181 | 103s
进度 990/2221 | 输入 165633 tok | 输出 127946 tok | 费用 ¥0.4215 | 103s
进度 1000/2221 | 输入 166801 tok | 输出 128785 tok | 费用 ¥0.4244 | 103s
进度 1010/2221 | 输入 168346 tok | 输出 129961 tok | 费用 ¥0.4283 | 103s
进度 1020/2221 | 输入 173218 tok | 输出 134276 tok | 费用 ¥0.4418 | 105s
进度 1030/2221 | 输入 174315 tok | 输出 135040 tok | 费用 ¥0.4444 | 107s
进度 1040/2221 | 输入 175855 tok | 输出 136232 tok | 费用 ¥0.4483 | 107s
进度 1050/2221 | 输入 177077 tok | 输出 137063 tok | 费用 ¥0.4512 | 109s
进度 1060/2221 | 输入 179426 tok | 输出 139094 tok | 费用 ¥0.4576 | 109s
进度 1070/2221 | 输入 181011 tok | 输出 140305 tok | 费用 ¥0.4616 | 111s
进度 1080/2221 | 输入 182532 tok | 输出 141436 tok | 费用 ¥0.4654 | 112s
进度 1090/2221 | 输入 183745 tok | 输出 142343 tok | 费用 ¥0.4684 | 115s
进度 1100/2221 | 输入 186154 tok | 输出 144359 tok | 费用 ¥0.4749 | 115s
进度 1110/2221 | 输入 187731 tok | 输出 145548 tok | 费用 ¥0.4788 | 115s
进度 1120/2221 | 输入 189981 tok | 输出 147325 tok | 费用 ¥0.4846 | 118s
进度 1130/2221 | 输入 190727 tok | 输出 147774 tok | 费用 ¥0.4863 | 118s
进度 1140/2221 | 输入 191789 tok | 输出 148527 tok | 费用 ¥0.4888 | 119s
进度 1150/2221 | 输入 194016 tok | 输出 150331 tok | 费用 ¥0.4947 | 120s
进度 1160/2221 | 输入 197546 tok | 输出 153422 tok | 费用 ¥0.5044 | 121s
进度 1170/2221 | 输入 199580 tok | 输出 155016 tok | 费用 ¥0.5096 | 122s
进度 1180/2221 | 输入 200912 tok | 输出 156029 tok | 费用 ¥0.5130 | 124s
进度 1190/2221 | 输入 202870 tok | 输出 157606 tok | 费用 ¥0.5181 | 125s
进度 1200/2221 | 输入 204524 tok | 输出 158911 tok | 费用 ¥0.5223 | 126s
进度 1210/2221 | 输入 205730 tok | 输出 159763 tok | 费用 ¥0.5253 | 127s
进度 1220/2221 | 输入 209119 tok | 输出 162546 tok | 费用 ¥0.5342 | 127s
进度 1230/2221 | 输入 210797 tok | 输出 163840 tok | 费用 ¥0.5385 | 128s
进度 1240/2221 | 输入 212673 tok | 输出 165335 tok | 费用 ¥0.5433 | 128s
进度 1250/2221 | 输入 214534 tok | 输出 166877 tok | 费用 ¥0.5483 | 133s
进度 1260/2221 | 输入 215817 tok | 输出 167788 tok | 费用 ¥0.5514 | 134s
进度 1270/2221 | 输入 218234 tok | 输出 169780 tok | 费用 ¥0.5578 | 136s
进度 1280/2221 | 输入 220855 tok | 输出 171852 tok | 费用 ¥0.5646 | 138s
进度 1290/2221 | 输入 223413 tok | 输出 173985 tok | 费用 ¥0.5714 | 140s
进度 1300/2221 | 输入 226209 tok | 输出 176300 tok | 费用 ¥0.5788 | 140s
进度 1310/2221 | 输入 227196 tok | 输出 176975 tok | 费用 ¥0.5811 | 141s
进度 1320/2221 | 输入 231313 tok | 输出 180595 tok | 费用 ¥0.5925 | 142s
进度 1330/2221 | 输入 233357 tok | 输出 182257 tok | 费用 ¥0.5979 | 142s
进度 1340/2221 | 输入 234362 tok | 输出 182941 tok | 费用 ¥0.6002 | 143s
进度 1350/2221 | 输入 237447 tok | 输出 185566 tok | 费用 ¥0.6086 | 144s
进度 1360/2221 | 输入 238713 tok | 输出 186518 tok | 费用 ¥0.6117 | 146s
进度 1370/2221 | 输入 241180 tok | 输出 188653 tok | 费用 ¥0.6185 | 146s
进度 1380/2221 | 输入 242408 tok | 输出 189563 tok | 费用 ¥0.6215 | 149s
进度 1390/2221 | 输入 244288 tok | 输出 191079 tok | 费用 ¥0.6264 | 149s
进度 1400/2221 | 输入 245962 tok | 输出 192359 tok | 费用 ¥0.6307 | 149s
进度 1410/2221 | 输入 246932 tok | 输出 193006 tok | 费用 ¥0.6329 | 151s
进度 1420/2221 | 输入 247701 tok | 输出 193477 tok | 费用 ¥0.6347 | 152s
进度 1430/2221 | 输入 248558 tok | 输出 194000 tok | 费用 ¥0.6366 | 153s
进度 1440/2221 | 输入 249574 tok | 输出 194682 tok | 费用 ¥0.6389 | 153s
进度 1450/2221 | 输入 251653 tok | 输出 196346 tok | 费用 ¥0.6443 | 153s
进度 1460/2221 | 输入 252443 tok | 输出 196804 tok | 费用 ¥0.6461 | 154s
进度 1470/2221 | 输入 254781 tok | 输出 198750 tok | 费用 ¥0.6523 | 154s
进度 1480/2221 | 输入 255788 tok | 输出 199413 tok | 费用 ¥0.6546 | 156s
进度 1490/2221 | 输入 257909 tok | 输出 201105 tok | 费用 ¥0.6601 | 156s
进度 1500/2221 | 输入 258657 tok | 输出 201557 tok | 费用 ¥0.6618 | 157s
进度 1510/2221 | 输入 261427 tok | 输出 203862 tok | 费用 ¥0.6692 | 158s
进度 1520/2221 | 输入 262549 tok | 输出 204643 tok | 费用 ¥0.6718 | 159s
进度 1530/2221 | 输入 263968 tok | 输出 205701 tok | 费用 ¥0.6754 | 159s
进度 1540/2221 | 输入 265544 tok | 输出 206877 tok | 费用 ¥0.6793 | 160s
进度 1550/2221 | 输入 266782 tok | 输出 207750 tok | 费用 ¥0.6823 | 161s
进度 1560/2221 | 输入 268070 tok | 输出 208635 tok | 费用 ¥0.6853 | 161s
进度 1570/2221 | 输入 269294 tok | 输出 209507 tok | 费用 ¥0.6883 | 162s
进度 1580/2221 | 输入 271747 tok | 输出 211512 tok | 费用 ¥0.6948 | 164s
进度 1590/2221 | 输入 273325 tok | 输出 212635 tok | 费用 ¥0.6986 | 164s
进度 1600/2221 | 输入 274613 tok | 输出 213490 tok | 费用 ¥0.7016 | 164s
进度 1610/2221 | 输入 275985 tok | 输出 214446 tok | 费用 ¥0.7049 | 164s
进度 1620/2221 | 输入 277278 tok | 输出 215381 tok | 费用 ¥0.7080 | 165s
进度 1630/2221 | 输入 278464 tok | 输出 216203 tok | 费用 ¥0.7109 | 166s
进度 1640/2221 | 输入 279923 tok | 输出 217264 tok | 费用 ¥0.7145 | 168s
进度 1650/2221 | 输入 281264 tok | 输出 218274 tok | 费用 ¥0.7178 | 168s
进度 1660/2221 | 输入 282227 tok | 输出 218942 tok | 费用 ¥0.7201 | 170s
进度 1670/2221 | 输入 283748 tok | 输出 220120 tok | 费用 ¥0.7240 | 171s
进度 1680/2221 | 输入 284910 tok | 输出 220979 tok | 费用 ¥0.7269 | 172s
进度 1690/2221 | 输入 286844 tok | 输出 222567 tok | 费用 ¥0.7320 | 174s
进度 1700/2221 | 输入 288989 tok | 输出 224291 tok | 费用 ¥0.7376 | 175s
进度 1710/2221 | 输入 291548 tok | 输出 226412 tok | 费用 ¥0.7444 | 177s
进度 1720/2221 | 输入 293722 tok | 输出 228129 tok | 费用 ¥0.7500 | 177s
进度 1730/2221 | 输入 295352 tok | 输出 229395 tok | 费用 ¥0.7541 | 180s
进度 1740/2221 | 输入 297311 tok | 输出 230952 tok | 费用 ¥0.7592 | 180s
进度 1750/2221 | 输入 299850 tok | 输出 233031 tok | 费用 ¥0.7659 | 181s
进度 1760/2221 | 输入 303789 tok | 输出 236552 tok | 费用 ¥0.7769 | 182s
进度 1770/2221 | 输入 305620 tok | 输出 238018 tok | 费用 ¥0.7817 | 183s
进度 1780/2221 | 输入 307849 tok | 输出 239880 tok | 费用 ¥0.7876 | 185s
进度 1790/2221 | 输入 309879 tok | 输出 241482 tok | 费用 ¥0.7928 | 186s
进度 1800/2221 | 输入 312442 tok | 输出 243613 tok | 费用 ¥0.7997 | 188s
进度 1810/2221 | 输入 314121 tok | 输出 244914 tok | 费用 ¥0.8039 | 189s
进度 1820/2221 | 输入 315920 tok | 输出 246321 tok | 费用 ¥0.8086 | 190s
进度 1830/2221 | 输入 318224 tok | 输出 248186 tok | 费用 ¥0.8146 | 190s
进度 1840/2221 | 输入 320039 tok | 输出 249599 tok | 费用 ¥0.8192 | 191s
进度 1850/2221 | 输入 321586 tok | 输出 250795 tok | 费用 ¥0.8232 | 192s
进度 1860/2221 | 输入 322923 tok | 输出 251782 tok | 费用 ¥0.8265 | 194s
进度 1870/2221 | 输入 325975 tok | 输出 254342 tok | 费用 ¥0.8347 | 195s
进度 1880/2221 | 输入 327384 tok | 输出 255419 tok | 费用 ¥0.8382 | 196s
进度 1890/2221 | 输入 329473 tok | 输出 257119 tok | 费用 ¥0.8437 | 196s
进度 1900/2221 | 输入 331133 tok | 输出 258402 tok | 费用 ¥0.8479 | 196s
进度 1910/2221 | 输入 332983 tok | 输出 259897 tok | 费用 ¥0.8528 | 199s
进度 1920/2221 | 输入 334927 tok | 输出 261526 tok | 费用 ¥0.8580 | 201s
进度 1930/2221 | 输入 336848 tok | 输出 263076 tok | 费用 ¥0.8630 | 204s
进度 1940/2221 | 输入 338859 tok | 输出 264647 tok | 费用 ¥0.8682 | 205s
进度 1950/2221 | 输入 342228 tok | 输出 267655 tok | 费用 ¥0.8775 | 205s
进度 1960/2221 | 输入 344699 tok | 输出 269703 tok | 费用 ¥0.8841 | 205s
进度 1970/2221 | 输入 348171 tok | 输出 272638 tok | 费用 ¥0.8934 | 210s
进度 1980/2221 | 输入 349534 tok | 输出 273610 tok | 费用 ¥0.8968 | 211s
进度 1990/2221 | 输入 351361 tok | 输出 275057 tok | 费用 ¥0.9015 | 212s
进度 2000/2221 | 输入 352802 tok | 输出 276132 tok | 费用 ¥0.9051 | 212s
进度 2010/2221 | 输入 354453 tok | 输出 277361 tok | 费用 ¥0.9092 | 212s
进度 2020/2221 | 输入 357360 tok | 输出 279933 tok | 费用 ¥0.9172 | 212s
进度 2030/2221 | 输入 360404 tok | 输出 282469 tok | 费用 ¥0.9253 | 214s
进度 2040/2221 | 输入 364779 tok | 输出 286321 tok | 费用 ¥0.9374 | 216s
进度 2050/2221 | 输入 366313 tok | 输出 287461 tok | 费用 ¥0.9412 | 219s
进度 2060/2221 | 输入 367942 tok | 输出 288681 tok | 费用 ¥0.9453 | 219s
进度 2070/2221 | 输入 369524 tok | 输出 289874 tok | 费用 ¥0.9493 | 219s
进度 2080/2221 | 输入 371615 tok | 输出 291572 tok | 费用 ¥0.9548 | 219s
进度 2090/2221 | 输入 373599 tok | 输出 293151 tok | 费用 ¥0.9599 | 220s
进度 2100/2221 | 输入 375538 tok | 输出 294615 tok | 费用 ¥0.9648 | 223s
进度 2110/2221 | 输入 377781 tok | 输出 296413 tok | 费用 ¥0.9706 | 223s
进度 2120/2221 | 输入 379774 tok | 输出 297936 tok | 费用 ¥0.9756 | 224s
进度 2130/2221 | 输入 382114 tok | 输出 299703 tok | 费用 ¥0.9815 | 229s
进度 2140/2221 | 输入 384725 tok | 输出 301708 tok | 费用 ¥0.9881 | 231s
进度 2150/2221 | 输入 385825 tok | 输出 302463 tok | 费用 ¥0.9908 | 233s
进度 2160/2221 | 输入 389089 tok | 输出 305214 tok | 费用 ¥0.9995 | 233s
进度 2170/2221 | 输入 391575 tok | 输出 307206 tok | 费用 ¥1.0060 | 235s
进度 2180/2221 | 输入 394148 tok | 输出 309240 tok | 费用 ¥1.0126 | 235s
进度 2190/2221 | 输入 395282 tok | 输出 310015 tok | 费用 ¥1.0153 | 235s
进度 2191/2221 | 输入 395778 tok | 输出 310245 tok | 费用 ¥1.0163 | 236s
进度 2201/2221 | 输入 399614 tok | 输出 313372 tok | 费用 ¥1.0264 | 236s
进度 2211/2221 | 输入 403697 tok | 输出 316856 tok | 费用 ¥1.0374 | 237s
进度 2221/2221 | 输入 407685 tok | 输出 320161 tok | 费用 ¥1.0480 | 243s
============================================================
完成: 2221 条
思考模式出现次数: 0 (应为 0)
输入 token: 407685 | 输出 token: 320161
费用估算: ¥1.0480
