待翻译: 2683 条 (样本=0, 限制=0)
共 269 批, 并发 8
进度 10/2683 | 输入 625 tok | 输出 334 tok | 费用 ¥0.0013 | 3s
进度 710/2683 | 输入 94486 tok | 输出 69459 tok | 费用 ¥0.2334 | 61s
进度 720/2683 | 输入 95261 tok | 输出 69907 tok | 费用 ¥0.2351 | 63s
进度 730/2683 | 输入 96723 tok | 输出 71011 tok | 费用 ¥0.2387 | 64s
进度 740/2683 | 输入 98529 tok | 输出 72463 tok | 费用 ¥0.2435 | 64s
进度 750/2683 | 输入 100825 tok | 输出 74292 tok | 费用 ¥0.2494 | 66s
进度 760/2683 | 输入 102896 tok | 输出 76017 tok | 费用 ¥0.2549 | 67s
进度 770/2683 | 输入 104219 tok | 输出 76973 tok | 费用 ¥0.2582 | 67s
进度 780/2683 | 输入 104951 tok | 输出 77392 tok | 费用 ¥0.2597 | 67s
进度 790/2683 | 输入 105706 tok | 输出 77846 tok | 费用 ¥0.2614 | 67s
进度 800/2683 | 输入 106565 tok | 输出 78369 tok | 费用 ¥0.2633 | 68s
进度 810/2683 | 输入 108034 tok | 输出 79459 tok | 费用 ¥0.2670 | 69s
进度 820/2683 | 输入 110776 tok | 输出 81794 tok | 费用 ¥0.2744 | 69s
进度 830/2683 | 输入 111875 tok | 输出 82582 tok | 费用 ¥0.2770 | 71s
进度 840/2683 | 输入 113058 tok | 输出 83426 tok | 费用 ¥0.2799 | 73s
进度 850/2683 | 输入 114282 tok | 输出 84291 tok | 费用 ¥0.2829 | 73s
进度 860/2683 | 输入 115365 tok | 输出 85037 tok | 费用 ¥0.2854 | 73s
进度 870/2683 | 输入 116259 tok | 输出 85601 tok | 费用 ¥0.2875 | 76s
进度 880/2683 | 输入 118085 tok | 输出 87102 tok | 费用 ¥0.2923 | 76s
进度 890/2683 | 输入 119522 tok | 输出 88171 tok | 费用 ¥0.2959 | 76s
进度 900/2683 | 输入 120373 tok | 输出 88689 tok | 费用 ¥0.2978 | 77s
  批次失败(第1次, 深度0): 返回条数 12 != 请求 10 | 原始: '{"results": [{"id": 34562, "content_zh": "输入区域设置标识符是一个比键盘布局更广泛的概念，因为它还可以包含语音到文本转换器、输入法编辑器（IME）或任何其他形式的输入。由于键盘布局可以动态更; 1s 后重试
进度 910/2683 | 输入 121801 tok | 输出 89717 tok | 费用 ¥0.3012 | 81s
进度 920/2683 | 输入 124881 tok | 输出 92287 tok | 费用 ¥0.3095 | 82s
进度 930/2683 | 输入 126129 tok | 输出 93222 tok | 费用 ¥0.3126 | 82s
进度 940/2683 | 输入 127488 tok | 输出 94200 tok | 费用 ¥0.3159 | 83s
进度 950/2683 | 输入 129536 tok | 输出 95808 tok | 费用 ¥0.3212 | 83s
进度 960/2683 | 输入 131063 tok | 输出 97011 tok | 费用 ¥0.3251 | 85s
进度 970/2683 | 输入 133096 tok | 输出 98677 tok | 费用 ¥0.3305 | 87s
进度 980/2683 | 输入 134082 tok | 输出 99324 tok | 费用 ¥0.3327 | 88s
  批次失败(第2次, 深度0): 返回条数 12 != 请求 10 | 原始: '{"results": [{"id": 34562, "content_zh": "输入区域设置标识符比键盘布局的概念更广泛，因为它还可以包含语音到文本转换器、输入法编辑器（IME）或任何其他形式的输入。由于键盘布局可以动态更改，缓; 2s 后重试
进度 990/2683 | 输入 135127 tok | 输出 100034 tok | 费用 ¥0.3352 | 88s
进度 1000/2683 | 输入 136024 tok | 输出 100576 tok | 费用 ¥0.3372 | 89s
进度 1010/2683 | 输入 138082 tok | 输出 102131 tok | 费用 ¥0.3423 | 91s
进度 1020/2683 | 输入 138854 tok | 输出 102596 tok | 费用 ¥0.3440 | 91s
进度 1030/2683 | 输入 141505 tok | 输出 104891 tok | 费用 ¥0.3513 | 94s
进度 1040/2683 | 输入 144256 tok | 输出 107115 tok | 费用 ¥0.3585 | 94s
进度 1050/2683 | 输入 145851 tok | 输出 108376 tok | 费用 ¥0.3626 | 94s
进度 1060/2683 | 输入 147264 tok | 输出 109358 tok | 费用 ¥0.3660 | 98s
进度 1070/2683 | 输入 149180 tok | 输出 110777 tok | 费用 ¥0.3707 | 98s
进度 1080/2683 | 输入 151025 tok | 输出 112186 tok | 费用 ¥0.3754 | 99s
  批次失败(第3次, 深度0): 返回条数 12 != 请求 10 | 原始: '{"results": [{"id": 34562, "content_zh": "输入区域设置标识符是一个比键盘布局更广泛的概念，因为它还可以涵盖语音转文本转换器、输入法编辑器（IME）或任何其他形式的输入。由于键盘布局可以动态更; 4s 后重试
进度 1090/2683 | 输入 151970 tok | 输出 112812 tok | 费用 ¥0.3776 | 99s
进度 1100/2683 | 输入 153355 tok | 输出 113845 tok | 费用 ¥0.3810 | 101s
进度 1110/2683 | 输入 154173 tok | 输出 114353 tok | 费用 ¥0.3829 | 102s
进度 1120/2683 | 输入 155165 tok | 输出 115034 tok | 费用 ¥0.3852 | 103s
进度 1130/2683 | 输入 157727 tok | 输出 117043 tok | 费用 ¥0.3918 | 103s
进度 1140/2683 | 输入 158652 tok | 输出 117629 tok | 费用 ¥0.3939 | 103s
进度 1150/2683 | 输入 159590 tok | 输出 118236 tok | 费用 ¥0.3961 | 103s
进度 1160/2683 | 输入 162094 tok | 输出 120170 tok | 费用 ¥0.4024 | 105s
进度 1170/2683 | 输入 162797 tok | 输出 120575 tok | 费用 ¥0.4039 | 107s
进度 1180/2683 | 输入 163591 tok | 输出 121062 tok | 费用 ¥0.4057 | 107s
进度 1190/2683 | 输入 164977 tok | 输出 122104 tok | 费用 ¥0.4092 | 107s
进度 1200/2683 | 输入 166275 tok | 输出 122975 tok | 费用 ¥0.4122 | 109s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 2408 (char 2407); 1s 后重试
进度 1210/2683 | 输入 167815 tok | 输出 124182 tok | 费用 ¥0.4162 | 111s
  批次失败(第4次, 深度0): 返回条数 12 != 请求 10 | 原始: '{"results": [{"id": 34562, "content_zh": "输入区域设置标识符是一个比键盘布局更广泛的概念，因为它还可以包含语音到文本转换器、输入法编辑器（IME）或任何其他形式的输入。由于键盘布局可以动态更; 8s 后重试
进度 1220/2683 | 输入 168655 tok | 输出 124695 tok | 费用 ¥0.4180 | 113s
进度 1230/2683 | 输入 170048 tok | 输出 125661 tok | 费用 ¥0.4214 | 113s
进度 1240/2683 | 输入 171763 tok | 输出 127059 tok | 费用 ¥0.4259 | 114s
进度 1250/2683 | 输入 173243 tok | 输出 128179 tok | 费用 ¥0.4296 | 117s
进度 1260/2683 | 输入 174286 tok | 输出 128877 tok | 费用 ¥0.4320 | 118s
进度 1270/2683 | 输入 176459 tok | 输出 130707 tok | 费用 ¥0.4379 | 118s
进度 1280/2683 | 输入 177312 tok | 输出 131216 tok | 费用 ¥0.4397 | 118s
进度 1290/2683 | 输入 179759 tok | 输出 133077 tok | 费用 ¥0.4459 | 119s
进度 1300/2683 | 输入 180852 tok | 输出 133840 tok | 费用 ¥0.4485 | 123s
进度 1310/2683 | 输入 183488 tok | 输出 136225 tok | 费用 ¥0.4559 | 123s
进度 1320/2683 | 输入 184974 tok | 输出 137356 tok | 费用 ¥0.4597 | 126s
进度 1330/2683 | 输入 187683 tok | 输出 139799 tok | 费用 ¥0.4673 | 127s
  批次失败(第1次, 深度1): id 映射缺失: 4/5; 1s 后重试
进度 1340/2683 | 输入 189622 tok | 输出 141442 tok | 费用 ¥0.4725 | 129s
进度 1350/2683 | 输入 191874 tok | 输出 143269 tok | 费用 ¥0.4784 | 129s
进度 1360/2683 | 输入 193994 tok | 输出 145016 tok | 费用 ¥0.4840 | 129s
进度 1370/2683 | 输入 195336 tok | 输出 145965 tok | 费用 ¥0.4873 | 130s
进度 1380/2683 | 输入 196230 tok | 输出 146536 tok | 费用 ¥0.4893 | 131s
进度 1390/2683 | 输入 197294 tok | 输出 147265 tok | 费用 ¥0.4918 | 134s
进度 1400/2683 | 输入 199473 tok | 输出 149149 tok | 费用 ¥0.4978 | 134s
进度 1410/2683 | 输入 200582 tok | 输出 149891 tok | 费用 ¥0.5004 | 135s
  批次失败(第2次, 深度1): id 映射缺失: 4/5; 2s 后重试
进度 1420/2683 | 输入 202275 tok | 输出 151245 tok | 费用 ¥0.5048 | 135s
进度 1430/2683 | 输入 203641 tok | 输出 152263 tok | 费用 ¥0.5082 | 135s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 2177 (char 2176); 1s 后重试
进度 1440/2683 | 输入 204575 tok | 输出 152833 tok | 费用 ¥0.5102 | 140s
进度 1450/2683 | 输入 205583 tok | 输出 153527 tok | 费用 ¥0.5126 | 140s
进度 1460/2683 | 输入 206961 tok | 输出 154464 tok | 费用 ¥0.5159 | 140s
进度 1470/2683 | 输入 208500 tok | 输出 155630 tok | 费用 ¥0.5198 | 141s
进度 1480/2683 | 输入 209199 tok | 输出 156020 tok | 费用 ¥0.5212 | 143s
进度 1490/2683 | 输入 210569 tok | 输出 157009 tok | 费用 ¥0.5246 | 144s
进度 1500/2683 | 输入 211669 tok | 输出 157782 tok | 费用 ¥0.5272 | 146s
进度 1510/2683 | 输入 214096 tok | 输出 159804 tok | 费用 ¥0.5337 | 147s
进度 1520/2683 | 输入 214855 tok | 输出 160233 tok | 费用 ¥0.5353 | 147s
进度 1530/2683 | 输入 218438 tok | 输出 163122 tok | 费用 ¥0.5447 | 147s
进度 1540/2683 | 输入 219730 tok | 输出 164069 tok | 费用 ¥0.5479 | 149s
进度 1550/2683 | 输入 222113 tok | 输出 165587 tok | 费用 ¥0.5533 | 149s
进度 1560/2683 | 输入 224432 tok | 输出 167423 tok | 费用 ¥0.5593 | 151s
进度 1570/2683 | 输入 226478 tok | 输出 169020 tok | 费用 ¥0.5645 | 151s
进度 1580/2683 | 输入 227756 tok | 输出 169909 tok | 费用 ¥0.5676 | 152s
进度 1590/2683 | 输入 228568 tok | 输出 170395 tok | 费用 ¥0.5694 | 153s
进度 1600/2683 | 输入 229694 tok | 输出 171205 tok | 费用 ¥0.5721 | 154s
进度 1610/2683 | 输入 231618 tok | 输出 172679 tok | 费用 ¥0.5770 | 156s
进度 1620/2683 | 输入 232614 tok | 输出 173390 tok | 费用 ¥0.5794 | 156s
进度 1630/2683 | 输入 234592 tok | 输出 174874 tok | 费用 ¥0.5843 | 157s
进度 1640/2683 | 输入 236851 tok | 输出 176635 tok | 费用 ¥0.5901 | 157s
进度 1650/2683 | 输入 238030 tok | 输出 177454 tok | 费用 ¥0.5929 | 157s
进度 1660/2683 | 输入 239269 tok | 输出 178324 tok | 费用 ¥0.5959 | 158s
进度 1670/2683 | 输入 240454 tok | 输出 179132 tok | 费用 ¥0.5987 | 159s
进度 1680/2683 | 输入 241524 tok | 输出 179862 tok | 费用 ¥0.6012 | 160s
进度 1690/2683 | 输入 242751 tok | 输出 180681 tok | 费用 ¥0.6041 | 162s
进度 1700/2683 | 输入 243805 tok | 输出 181395 tok | 费用 ¥0.6066 | 162s
进度 1710/2683 | 输入 245117 tok | 输出 182386 tok | 费用 ¥0.6099 | 163s
进度 1720/2683 | 输入 246337 tok | 输出 183272 tok | 费用 ¥0.6129 | 163s
进度 1730/2683 | 输入 247566 tok | 输出 184141 tok | 费用 ¥0.6158 | 163s
进度 1740/2683 | 输入 248679 tok | 输出 184930 tok | 费用 ¥0.6185 | 164s
进度 1750/2683 | 输入 249831 tok | 输出 185728 tok | 费用 ¥0.6213 | 164s
进度 1760/2683 | 输入 250711 tok | 输出 186281 tok | 费用 ¥0.6233 | 166s
进度 1770/2683 | 输入 251972 tok | 输出 187240 tok | 费用 ¥0.6265 | 166s
进度 1780/2683 | 输入 252867 tok | 输出 187806 tok | 费用 ¥0.6285 | 166s
进度 1790/2683 | 输入 253664 tok | 输出 188263 tok | 费用 ¥0.6302 | 167s
进度 1800/2683 | 输入 254628 tok | 输出 188930 tok | 费用 ¥0.6325 | 169s
进度 1810/2683 | 输入 255387 tok | 输出 189378 tok | 费用 ¥0.6341 | 170s
进度 1820/2683 | 输入 256370 tok | 输出 190046 tok | 费用 ¥0.6365 | 171s
进度 1830/2683 | 输入 258055 tok | 输出 191430 tok | 费用 ¥0.6409 | 172s
进度 1840/2683 | 输入 260018 tok | 输出 193046 tok | 费用 ¥0.6461 | 173s
进度 1850/2683 | 输入 261326 tok | 输出 193989 tok | 费用 ¥0.6493 | 173s
进度 1860/2683 | 输入 262317 tok | 输出 194651 tok | 费用 ¥0.6516 | 173s
进度 1870/2683 | 输入 263471 tok | 输出 195469 tok | 费用 ¥0.6544 | 176s
进度 1880/2683 | 输入 264477 tok | 输出 196118 tok | 费用 ¥0.6567 | 177s
进度 1890/2683 | 输入 265526 tok | 输出 196824 tok | 费用 ¥0.6592 | 177s
进度 1900/2683 | 输入 266751 tok | 输出 197669 tok | 费用 ¥0.6621 | 179s
进度 1910/2683 | 输入 269169 tok | 输出 199727 tok | 费用 ¥0.6686 | 179s
进度 1920/2683 | 输入 270937 tok | 输出 201096 tok | 费用 ¥0.6731 | 179s
进度 1930/2683 | 输入 274323 tok | 输出 203969 tok | 费用 ¥0.6823 | 181s
进度 1940/2683 | 输入 276191 tok | 输出 205481 tok | 费用 ¥0.6872 | 183s
进度 1950/2683 | 输入 277368 tok | 输出 206389 tok | 费用 ¥0.6901 | 183s
进度 1960/2683 | 输入 278323 tok | 输出 207045 tok | 费用 ¥0.6924 | 184s
进度 1970/2683 | 输入 279721 tok | 输出 208070 tok | 费用 ¥0.6959 | 186s
进度 1980/2683 | 输入 280951 tok | 输出 209005 tok | 费用 ¥0.6990 | 187s
进度 1990/2683 | 输入 281899 tok | 输出 209666 tok | 费用 ¥0.7012 | 187s
进度 2000/2683 | 输入 282714 tok | 输出 210168 tok | 费用 ¥0.7030 | 188s
进度 2010/2683 | 输入 283938 tok | 输出 211053 tok | 费用 ¥0.7060 | 189s
进度 2020/2683 | 输入 287010 tok | 输出 213638 tok | 费用 ¥0.7143 | 191s
进度 2030/2683 | 输入 290685 tok | 输出 216734 tok | 费用 ¥0.7242 | 192s
进度 2040/2683 | 输入 292248 tok | 输出 217969 tok | 费用 ¥0.7282 | 193s
进度 2050/2683 | 输入 293301 tok | 输出 218652 tok | 费用 ¥0.7306 | 194s
进度 2060/2683 | 输入 296330 tok | 输出 221364 tok | 费用 ¥0.7391 | 194s
进度 2070/2683 | 输入 297708 tok | 输出 222364 tok | 费用 ¥0.7424 | 194s
进度 2080/2683 | 输入 299228 tok | 输出 223494 tok | 费用 ¥0.7462 | 194s
进度 2090/2683 | 输入 301082 tok | 输出 224915 tok | 费用 ¥0.7509 | 196s
进度 2100/2683 | 输入 302001 tok | 输出 225477 tok | 费用 ¥0.7530 | 197s
进度 2110/2683 | 输入 303192 tok | 输出 226303 tok | 费用 ¥0.7558 | 197s
进度 2120/2683 | 输入 304191 tok | 输出 226957 tok | 费用 ¥0.7581 | 198s
进度 2130/2683 | 输入 305349 tok | 输出 227731 tok | 费用 ¥0.7608 | 200s
进度 2140/2683 | 输入 306725 tok | 输出 228700 tok | 费用 ¥0.7641 | 200s
进度 2150/2683 | 输入 307483 tok | 输出 229130 tok | 费用 ¥0.7657 | 201s
进度 2160/2683 | 输入 309094 tok | 输出 230321 tok | 费用 ¥0.7697 | 202s
进度 2170/2683 | 输入 309968 tok | 输出 230847 tok | 费用 ¥0.7717 | 203s
进度 2180/2683 | 输入 311354 tok | 输出 231932 tok | 费用 ¥0.7752 | 204s
进度 2190/2683 | 输入 312252 tok | 输出 232497 tok | 费用 ¥0.7772 | 205s
进度 2200/2683 | 输入 314017 tok | 输出 233868 tok | 费用 ¥0.7818 | 205s
进度 2210/2683 | 输入 315093 tok | 输出 234628 tok | 费用 ¥0.7843 | 205s
进度 2220/2683 | 输入 316020 tok | 输出 235259 tok | 费用 ¥0.7865 | 206s
进度 2230/2683 | 输入 317156 tok | 输出 236039 tok | 费用 ¥0.7892 | 207s
进度 2240/2683 | 输入 318124 tok | 输出 236639 tok | 费用 ¥0.7914 | 208s
进度 2250/2683 | 输入 319278 tok | 输出 237419 tok | 费用 ¥0.7941 | 209s
进度 2260/2683 | 输入 320567 tok | 输出 238330 tok | 费用 ¥0.7972 | 212s
进度 2270/2683 | 输入 324245 tok | 输出 241679 tok | 费用 ¥0.8076 | 212s
进度 2280/2683 | 输入 325570 tok | 输出 242636 tok | 费用 ¥0.8108 | 215s
进度 2290/2683 | 输入 327920 tok | 输出 244613 tok | 费用 ¥0.8171 | 215s
进度 2300/2683 | 输入 329987 tok | 输出 246285 tok | 费用 ¥0.8226 | 216s
进度 2310/2683 | 输入 332418 tok | 输出 248304 tok | 费用 ¥0.8290 | 217s
进度 2320/2683 | 输入 333293 tok | 输出 248860 tok | 费用 ¥0.8310 | 219s
进度 2330/2683 | 输入 335502 tok | 输出 250653 tok | 费用 ¥0.8368 | 220s
进度 2340/2683 | 输入 337360 tok | 输出 252144 tok | 费用 ¥0.8416 | 221s
进度 2350/2683 | 输入 340117 tok | 输出 254508 tok | 费用 ¥0.8491 | 221s
进度 2360/2683 | 输入 341384 tok | 输出 255389 tok | 费用 ¥0.8522 | 221s
进度 2370/2683 | 输入 343398 tok | 输出 256989 tok | 费用 ¥0.8574 | 221s
进度 2380/2683 | 输入 344859 tok | 输出 258125 tok | 费用 ¥0.8611 | 223s
进度 2390/2683 | 输入 345785 tok | 输出 258717 tok | 费用 ¥0.8632 | 223s
进度 2400/2683 | 输入 346783 tok | 输出 259401 tok | 费用 ¥0.8656 | 224s
进度 2410/2683 | 输入 347627 tok | 输出 259914 tok | 费用 ¥0.8675 | 224s
进度 2420/2683 | 输入 349329 tok | 输出 261245 tok | 费用 ¥0.8718 | 225s
进度 2430/2683 | 输入 350480 tok | 输出 262053 tok | 费用 ¥0.8746 | 227s
进度 2440/2683 | 输入 351592 tok | 输出 262776 tok | 费用 ¥0.8771 | 228s
进度 2450/2683 | 输入 352715 tok | 输出 263568 tok | 费用 ¥0.8799 | 229s
进度 2460/2683 | 输入 354005 tok | 输出 264546 tok | 费用 ¥0.8831 | 230s
进度 2470/2683 | 输入 355264 tok | 输出 265475 tok | 费用 ¥0.8862 | 231s
进度 2480/2683 | 输入 357148 tok | 输出 267006 tok | 费用 ¥0.8912 | 233s
进度 2490/2683 | 输入 358733 tok | 输出 268243 tok | 费用 ¥0.8952 | 234s
进度 2500/2683 | 输入 361288 tok | 输出 270479 tok | 费用 ¥0.9022 | 234s
进度 2510/2683 | 输入 362177 tok | 输出 271063 tok | 费用 ¥0.9043 | 234s
进度 2520/2683 | 输入 364832 tok | 输出 273375 tok | 费用 ¥0.9116 | 235s
进度 2530/2683 | 输入 365849 tok | 输出 274085 tok | 费用 ¥0.9140 | 236s
进度 2540/2683 | 输入 367908 tok | 输出 275747 tok | 费用 ¥0.9194 | 239s
进度 2550/2683 | 输入 369312 tok | 输出 276794 tok | 费用 ¥0.9229 | 240s
进度 2560/2683 | 输入 370579 tok | 输出 277726 tok | 费用 ¥0.9260 | 240s
进度 2570/2683 | 输入 372067 tok | 输出 278931 tok | 费用 ¥0.9299 | 242s
进度 2580/2683 | 输入 373943 tok | 输出 280499 tok | 费用 ¥0.9349 | 243s
进度 2590/2683 | 输入 375795 tok | 输出 282099 tok | 费用 ¥0.9400 | 243s
进度 2600/2683 | 输入 376653 tok | 输出 282630 tok | 费用 ¥0.9419 | 244s
进度 2610/2683 | 输入 377645 tok | 输出 283308 tok | 费用 ¥0.9443 | 244s
进度 2620/2683 | 输入 381184 tok | 输出 286400 tok | 费用 ¥0.9540 | 245s
进度 2630/2683 | 输入 382464 tok | 输出 287269 tok | 费用 ¥0.9570 | 245s
进度 2640/2683 | 输入 383444 tok | 输出 287949 tok | 费用 ¥0.9593 | 246s
进度 2650/2683 | 输入 384495 tok | 输出 288657 tok | 费用 ¥0.9618 | 247s
进度 2653/2683 | 输入 385288 tok | 输出 289135 tok | 费用 ¥0.9636 | 248s
进度 2663/2683 | 输入 386361 tok | 输出 289877 tok | 费用 ¥0.9661 | 249s
进度 2673/2683 | 输入 387714 tok | 输出 290837 tok | 费用 ¥0.9694 | 250s
进度 2683/2683 | 输入 390781 tok | 输出 293399 tok | 费用 ¥0.9776 | 251s
============================================================
完成: 2683 条
思考模式出现次数: 0 (应为 0)
输入 token: 390781 | 输出 token: 293399
费用估算: ¥0.9776
